"id","username","password","access"
1,admin,admin,admin
5,CodFox2,"062714",student
6,RobFle3,"627803",student
7,EmmHub4,"123456",student
8,SabKel5,"877923",student
9,LorHay6,"953159",student
10,JacMay7,"498573",student
11,RonHoo8,"574606",student
12,ChaFar9,"503410",student
13,ThoHay10,"802129",student
14,DiaCan11,"019442",student
15,DarGar12,"800814",student
16,MarGal13,"804851",student
17,EthRob14,"635985",student
18,NelAnd15,"604586",student
19,BlaAll16,"744487",student
20,GinMcD17,"587072",student
21,LilCan18,"068424",student
22,EdiFra19,"293132",student
23,HelDan20,"849517",student
24,CarCar21,"924258",student
25,ArlRic22,"699180",student
26,KorCla23,"155517",student
27,JonBla24,"418340",student
28,CamHam25,"001110",student
29,MatMas26,"704143",student
30,HelCop27,"880881",student
31,student,qwerty,student
32,lecturer,qwerty,lecturer
33,secretary,qwerty,administration
34,AnnGib6,"741747",administration
35,GraRob7,"150045",lecturer
36,ColFra8,"102238",lecturer
37,EdwHan9,"516687",lecturer
38,ShoMcK10,"884029",lecturer
39,JohNas11,"350276",lecturer
40,AshTay12,"455605",lecturer
41,SopSno13,"466933",lecturer
42,DiaCoo14,"056386",lecturer
43,ThoPar15,"275182",lecturer
45,FraMar28,"897195",student
46,ChrPoo29,"605586",student
47,AntRos30,"217258",student
48,BarCla17,"102952",lecturer
50,IvaDav31,"974716",student
